,T1,Mean_T1,Median_T1,Max_T1,Min_T1,B0,Mean_B0,Median_B0,Max_B0,Min_B0,B1000,Mean_B1000,Median_B1000,Max_B1000,Min_B1000,B1500,Mean_B1500,Median_B1500,Max_B1500,Min_B1500,B2000,Mean_B2000,Median_B2000,Max_B2000,Min_B2000,ADC,Mean_ADC,Median_ADC,Max_ADC,Min_ADC,Position_X,Position_Y,Position_Z,class
477,1105.0,890.512,973.0,1160.0,404.0,38.0,52.392,42.0,121.0,25.0,33.0,30.632,32.0,53.0,11.0,32.0,24.824,28.0,50.0,4.0,31.0,21.728,23.0,49.0,1.0,74.0,530.896,394.0,1597.0,25.0,32,752,165,healthy
478,1119.0,921.536,997.0,1160.0,404.0,36.0,50.04,41.0,97.0,25.0,31.0,29.616,31.0,50.0,11.0,30.0,23.936,28.0,47.0,4.0,28.0,21.104,23.0,47.0,1.0,154.0,528.288,388.0,1597.0,25.0,32,752,166,healthy
479,1067.0,903.76,953.0,1363.0,480.0,3540.0,1627.688,1468.0,3849.0,9.0,243.0,125.584,119.0,258.0,23.0,62.0,35.392,34.0,65.0,12.0,15.0,9.936,10.0,15.0,5.0,2626.0,2138.248,2318.0,2726.0,398.0,32,763,246,healthy
480,899.0,879.648,916.0,1262.0,498.0,3506.0,2128.128,2347.0,3936.0,1.0,244.0,158.68,169.0,257.0,25.0,64.0,43.952,45.0,74.0,18.0,16.0,12.696,13.0,20.0,6.0,2694.0,2213.048,2481.0,2772.0,833.0,32,763,250,healthy
481,1177.0,1163.328,1172.0,1412.0,793.0,166.0,117.712,86.0,505.0,13.0,45.0,43.96,39.0,113.0,27.0,24.0,28.336,28.0,52.0,16.0,13.0,19.752,20.0,33.0,9.0,1060.0,795.552,810.0,1625.0,108.0,32,767,212,healthy
482,1010.0,1120.752,1157.0,1388.0,536.0,211.0,133.176,98.0,519.0,20.0,54.0,43.856,38.0,121.0,25.0,27.0,26.68,25.0,58.0,12.0,13.0,17.968,18.0,32.0,5.0,1168.0,862.016,885.0,1763.0,74.0,32,770,212,healthy
483,1135.0,1172.856,1232.0,1404.0,569.0,44.0,71.24,60.0,268.0,8.0,30.0,36.184,35.0,50.0,20.0,25.0,24.632,25.0,36.0,10.0,21.0,19.68,20.0,30.0,8.0,442.0,526.32,478.0,1623.0,32.0,32,774,193,healthy
484,1354.0,1182.752,1199.0,1463.0,540.0,30.0,34.072,35.0,55.0,15.0,24.0,27.896,28.0,34.0,22.0,21.0,23.6,22.0,34.0,15.0,19.0,21.2,20.0,32.0,13.0,240.0,229.544,236.0,552.0,24.0,32,780,167,healthy
485,1148.0,968.44,1075.0,1282.0,320.0,36.0,33.504,28.0,150.0,10.0,27.0,23.016,24.0,32.0,13.0,27.0,17.976,18.0,31.0,6.0,24.0,16.184,17.0,29.0,1.0,228.0,386.416,264.0,1712.0,0.0,32,784,320,healthy
486,1110.0,1190.472,1172.0,1417.0,986.0,42.0,50.864,45.0,112.0,27.0,23.0,27.84,29.0,39.0,20.0,17.0,21.16,21.0,29.0,14.0,13.0,16.352,15.0,29.0,8.0,583.0,537.728,471.0,1131.0,63.0,32,785,172,healthy
